ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,48.2,5.9,29.2
0002,48.8,0.0,36.6
0003,43.4,5.8,27.3
0004,11.1,1.8,9.6
0005,36.9,12.7,27.2
0006,88.3,6.0,36.8
0007,19.2,8.7,13.1
0008,95.5,33.5,60.7
0009,50.9,6.2,24.9
0010,49.7,4.3,27.3
0011,7.3,5.0,6.2
0012,20.3,2.3,14.9
0013,61.1,8.7,27.9
0014,88.0,53.1,68.5
0015,24.2,0.0,15.5
0016,57.4,0.0,39.5
0017,45.5,4.4,39.1
0018,41.5,8.9,17.5
0019,111.1,41.6,57.3
0020,42.1,25.9,35.7
0021,47.0,0.0,16.5
0022,31.2,4.7,13.8
0023,34.1,0.0,26.6
0024,103.8,16.9,48.0
0025,13.1,6.4,10.7
0026,13.9,13.9,13.9
0027,72.7,11.8,30.3
0028,78.4,0.0,55.0
0030,81.6,0.0,35.3
0031,85.5,54.4,65.4
0032,0.0,0.0,0.0
0033,148.7,19.3,39.1
0034,83.1,18.2,48.5
0036,67.2,35.0,51.0
0038,63.5,0.0,28.2
0039,69.2,5.8,33.6
0040,23.8,2.4,15.3
0041,23.5,1.6,12.7
0042,66.4,3.6,20.8
0043,74.2,32.0,54.1
0044,38.0,2.2,30.0
0045,55.3,12.7,31.6
0046,26.1,0.0,15.3
0047,23.0,23.0,23.0
0048,62.1,25.8,35.9
0049,91.8,21.8,47.1
0050,29.3,6.9,16.2
0051,72.0,6.6,17.8
0052,51.4,0.0,35.4
0053,15.8,2.2,10.9
0054,86.2,22.2,42.0
0055,24.0,18.2,20.2
0056,61.3,5.3,37.1
0057,75.7,25.3,48.8
0058,34.2,17.3,23.4
0059,74.3,13.4,50.3
0060,62.3,0.0,43.7
0062,71.4,30.0,53.7
0063,57.3,9.2,16.1
0064,81.6,3.1,23.3
0065,97.6,16.9,43.3
0068,3.6,3.6,3.6
0069,30.1,9.2,21.7
0070,101.4,18.8,41.6
0071,54.0,0.0,16.6
0072,44.7,0.0,29.9
0073,11.9,9.4,10.8
0074,4.1,3.1,3.7
0076,139.7,72.1,109.2
0077,72.1,35.4,53.2
0078,98.0,16.8,44.1
0079,106.2,0.0,18.5
0081,25.5,2.9,15.9
0083,84.9,24.0,42.1
0084,93.3,28.2,46.7
0085,39.4,0.0,16.7
0086,64.5,5.4,45.0
0087,67.1,37.7,54.2
0088,70.4,16.4,44.3
0089,58.3,0.0,40.4
0090,55.6,5.4,42.3
0091,55.7,0.0,46.7
0092,32.9,10.9,18.0
0093,66.4,26.7,44.1
0094,56.0,5.9,44.2
0095,71.4,28.2,50.3
0096,101.1,29.3,46.8
0097,72.3,5.9,62.6
0098,43.6,32.6,38.6
0099,63.9,30.1,46.9
0100,90.8,14.4,45.7
0101,37.8,19.3,31.5
0102,23.8,1.4,17.7
0103,54.1,4.9,43.9
0104,70.0,5.5,40.8
0105,88.7,17.5,42.8
0106,37.1,36.8,37.0
0107,45.6,6.8,40.3
0108,66.5,2.9,16.8
0109,34.1,16.5,23.8
0110,26.5,0.0,18.6
0111,98.2,11.7,48.3
0113,86.7,15.0,42.1
0114,77.6,77.6,77.6
0115,99.7,34.4,62.2
0116,26.3,0.0,19.5
0117,88.0,32.9,61.0
0118,20.2,0.0,9.6
0119,95.6,24.8,51.5
