start_sec,end_sec,NE_left,SW_left,crosswalk
0.0,6.0,RED,GREEN,RED
6.0,9.0,RED,YELLOW,RED
9.0,15.0,RED,RED,RED
15.0,67.0,RED,RED,GREEN
67.0,70.0,RED,RED,RED
70.0,117.0,GREEN,RED,RED
117.0,120.0,YELLOW,RED,RED
120.0,196.0,RED,GREEN,RED
196.0,199.0,RED,YELLOW,RED
199.0,205.0,RED,RED,RED
205.0,257.0,RED,RED,GREEN
257.0,260.0,RED,RED,RED
260.0,307.0,GREEN,RED,RED
307.0,310.0,YELLOW,RED,RED
310.0,386.0,RED,GREEN,RED
386.0,389.0,RED,YELLOW,RED
389.0,395.0,RED,RED,RED
395.0,447.0,RED,RED,GREEN
447.0,450.0,RED,RED,RED
450.0,497.0,GREEN,RED,RED
497.0,500.0,YELLOW,RED,RED
500.0,576.0,RED,GREEN,RED
576.0,579.0,RED,YELLOW,RED
579.0,585.0,RED,RED,RED
585.0,600.0,RED,RED,GREEN
