start_sec,end_sec,NE_left,SW_left,crosswalk,confidence,note
0,14,RED,GREEN,RED,INFERRED,남서행 좌회전 진행
14,17,RED,YELLOW,RED,INFERRED,남서행 좌회전 황색 3초
17,23,RED,RED,RED,INFERRED,전체 적색 전환 구간
23,74,RED,RED,GREEN,INFERRED,횡단보도 보행
74,77,RED,RED,RED,INFERRED,전체 적색 전환 구간
77,126,GREEN,RED,RED,INFERRED,북동행 좌회전 진행
126,129,YELLOW,RED,RED,INFERRED,북동행 좌회전 황색 3초
129,204,RED,GREEN,RED,INFERRED,남서행 좌회전 진행
204,207,RED,YELLOW,RED,INFERRED,남서행 좌회전 황색 3초
207,213,RED,RED,RED,INFERRED,전체 적색 전환 구간
213,264,RED,RED,GREEN,INFERRED,횡단보도 보행
264,267,RED,RED,RED,INFERRED,전체 적색 전환 구간
267,316,GREEN,RED,RED,INFERRED,북동행 좌회전 진행
316,319,YELLOW,RED,RED,INFERRED,북동행 좌회전 황색 3초
319,394,RED,GREEN,RED,INFERRED,남서행 좌회전 진행
394,397,RED,YELLOW,RED,INFERRED,남서행 좌회전 황색 3초
397,403,RED,RED,RED,INFERRED,전체 적색 전환 구간
403,454,RED,RED,GREEN,INFERRED,횡단보도 보행
454,457,RED,RED,RED,INFERRED,전체 적색 전환 구간
457,506,GREEN,RED,RED,INFERRED,북동행 좌회전 진행
506,509,YELLOW,RED,RED,INFERRED,북동행 좌회전 황색 3초
509,584,RED,GREEN,RED,INFERRED,남서행 좌회전 진행
584,587,RED,YELLOW,RED,INFERRED,남서행 좌회전 황색 3초
587,593,RED,RED,RED,INFERRED,전체 적색 전환 구간
593,600,RED,RED,GREEN,INFERRED,횡단보도 보행
