ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,16.0,0.0,2.2
0002,95.1,0.0,10.6
0003,50.4,0.0,8.3
0004,20.5,0.0,3.1
0005,11.3,0.0,2.3
0006,7.8,0.0,2.2
0007,20.9,0.0,3.0
0008,32.2,8.1,13.9
0009,1.8,1.8,1.8
0010,17.3,2.0,11.1
0012,21.2,15.0,18.0
0013,91.1,24.9,46.7
0014,85.3,11.0,45.4
0015,39.5,10.6,27.3
0016,90.0,16.2,40.8
0017,55.4,0.0,36.1
0018,88.2,12.1,41.3
0019,70.1,10.8,23.9
0020,28.2,3.8,21.9
0021,29.1,19.7,23.6
0022,33.9,5.7,19.8
0023,35.2,10.8,23.2
0024,58.0,37.5,50.6
0025,9.7,0.0,4.2
0026,29.1,10.1,19.3
0027,24.2,12.9,18.8
0028,74.6,52.2,68.5
0029,35.3,18.5,25.7
0030,46.0,12.6,20.8
0031,90.9,29.7,56.0
0032,11.7,6.4,9.9
0033,41.6,10.0,29.9
0034,63.6,15.8,35.1
0035,58.2,12.6,33.2
0036,59.8,9.5,30.4
0037,111.7,19.9,43.6
0038,74.9,18.4,38.2
0039,86.4,16.3,38.5
0040,62.4,10.3,34.2
0041,69.5,28.2,51.0
0042,79.7,25.8,50.9
0043,66.7,13.2,32.8
0044,57.0,57.0,57.0
0045,12.2,0.0,3.8
0046,79.6,9.5,38.2
0047,71.5,24.8,47.3
0048,70.7,30.5,48.4
0049,31.2,7.9,23.3
0050,29.4,10.3,24.3
0051,42.2,13.1,27.0
0052,42.3,42.3,42.3
0053,41.8,12.7,25.7
0054,7.3,0.2,1.5
0055,50.9,32.8,39.9
0056,48.5,29.9,37.2
0057,3.3,0.0,1.3
0058,61.7,27.1,52.5
0059,14.4,0.0,7.6
0060,70.9,47.3,59.6
0061,58.5,44.9,51.3
0062,38.5,22.1,31.6
0063,35.6,25.5,32.9
0064,28.3,12.8,16.1
0065,64.8,22.3,32.7
0066,69.8,0.0,59.0
0067,35.3,23.1,30.2
0068,23.0,11.0,18.5
