start_sec,end_sec,NE_straight,NE_left,NW_straight,NW_left,SE_straight,SE_left,SW_straight,SW_left
0.0,1.0,RED,RED,GREEN,RED,GREEN,RED,RED,RED
1.0,6.0,RED,RED,YELLOW,RED,YELLOW,RED,RED,RED
6.0,8.0,RED,RED,RED,RED,RED,RED,RED,RED
8.0,33.0,RED,RED,RED,GREEN,RED,GREEN,RED,RED
33.0,37.0,RED,RED,RED,YELLOW,RED,YELLOW,RED,RED
37.0,112.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
112.0,117.0,YELLOW,RED,RED,RED,RED,RED,YELLOW,RED
117.0,119.0,RED,RED,RED,RED,RED,RED,RED,RED
119.0,143.0,RED,GREEN,RED,RED,RED,RED,RED,GREEN
143.0,147.0,RED,YELLOW,RED,RED,RED,RED,RED,YELLOW
147.0,192.0,RED,RED,GREEN,RED,GREEN,RED,RED,RED
192.0,197.0,RED,RED,YELLOW,RED,YELLOW,RED,RED,RED
197.0,199.0,RED,RED,RED,RED,RED,RED,RED,RED
199.0,223.0,RED,RED,RED,GREEN,RED,GREEN,RED,RED
223.0,227.0,RED,RED,RED,YELLOW,RED,YELLOW,RED,RED
227.0,302.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
302.0,307.0,YELLOW,RED,RED,RED,RED,RED,YELLOW,RED
307.0,309.0,RED,RED,RED,RED,RED,RED,RED,RED
309.0,333.0,RED,GREEN,RED,RED,RED,RED,RED,GREEN
333.0,337.0,RED,YELLOW,RED,RED,RED,RED,RED,YELLOW
337.0,382.0,RED,RED,GREEN,RED,GREEN,RED,RED,RED
382.0,387.0,RED,RED,YELLOW,RED,YELLOW,RED,RED,RED
387.0,389.0,RED,RED,RED,RED,RED,RED,RED,RED
389.0,413.0,RED,RED,RED,GREEN,RED,GREEN,RED,RED
413.0,417.0,RED,RED,RED,YELLOW,RED,YELLOW,RED,RED
417.0,492.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
492.0,497.0,YELLOW,RED,RED,RED,RED,RED,YELLOW,RED
497.0,499.0,RED,RED,RED,RED,RED,RED,RED,RED
499.0,523.0,RED,GREEN,RED,RED,RED,RED,RED,GREEN
523.0,527.0,RED,YELLOW,RED,RED,RED,RED,RED,YELLOW
527.0,572.0,RED,RED,GREEN,RED,GREEN,RED,RED,RED
572.0,577.0,RED,RED,YELLOW,RED,YELLOW,RED,RED,RED
577.0,579.0,RED,RED,RED,RED,RED,RED,RED,RED
579.0,603.0,RED,RED,RED,GREEN,RED,GREEN,RED,RED
603.0,607.0,RED,RED,RED,YELLOW,RED,YELLOW,RED,RED
607.0,682.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
682.0,687.0,YELLOW,RED,RED,RED,RED,RED,YELLOW,RED
687.0,689.0,RED,RED,RED,RED,RED,RED,RED,RED
689.0,713.0,RED,GREEN,RED,RED,RED,RED,RED,GREEN
713.0,717.0,RED,YELLOW,RED,RED,RED,RED,RED,YELLOW
717.0,762.0,RED,RED,GREEN,RED,GREEN,RED,RED,RED
762.0,767.0,RED,RED,YELLOW,RED,YELLOW,RED,RED,RED
767.0,769.0,RED,RED,RED,RED,RED,RED,RED,RED
769.0,793.0,RED,RED,RED,GREEN,RED,GREEN,RED,RED
793.0,797.0,RED,RED,RED,YELLOW,RED,YELLOW,RED,RED
797.0,872.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
872.0,877.0,YELLOW,RED,RED,RED,RED,RED,YELLOW,RED
877.0,879.0,RED,RED,RED,RED,RED,RED,RED,RED
879.0,903.0,RED,GREEN,RED,RED,RED,RED,RED,GREEN
903.0,907.0,RED,YELLOW,RED,RED,RED,RED,RED,YELLOW
