vehicle_id,lane,signal_column,signal_state,time_sec,frame_number,x,y,stop_y,violation_y,margin_px
4,4,SW_straight,RED,21.79,643,391.1,257.6,239.5,257.5,18
161,2,SW_left,RED,117.52,3464,450.7,255.5,237.2,255.2,18
3,1,SW_left,RED,118.67,3498,481.2,259.3,236.1,254.1,18
290,4,SW_straight,RED,119.59,3525,364.8,262,240.5,258.5,18
422,4,SW_straight,RED,171.88,5066,362.5,260.2,240.6,258.6,18
714,3,SW_straight,RED,308.1,9080,395.3,261.1,239.3,257.3,18
2031,4,SW_straight,RED,877.49,25859,388.8,263.1,239.6,257.6,18
2091,4,SW_straight,RED,901.11,26555,386.7,261.3,239.7,257.7,18
2102,4,SW_straight,RED,904.07,26642,388.3,263.5,239.6,257.6,18
2127,4,SW_straight,RED,917.67,27043,385.6,258.7,239.7,257.7,18
2179,4,SW_straight,RED,967.76,28519,385.8,258.4,239.7,257.7,18
2191,4,SW_straight,RED,972.85,28669,385.8,258.4,239.7,257.7,18
2205,4,SW_straight,RED,977.2,28797,386.1,258.2,239.7,257.7,18
3331,4,SW_straight,RED,1461.01,43054,392.7,259.8,239.4,257.4,18
3345,4,SW_straight,RED,1465.52,43187,392.9,259.5,239.4,257.4,18
3363,4,SW_straight,RED,1470.82,43343,392.9,259.5,239.4,257.4,18
3447,4,SW_straight,RED,1537.57,45310,392.9,259.5,239.4,257.4,18
3483,4,SW_straight,RED,1556.43,45866,394,262.2,239.4,257.4,18
