ID,start_frame,end_frame
0003,3495,3499
0003,3502,3502
0004,1,373
0004,386,447
0004,466,554
0004,566,718
0004,736,780
0004,783,786
0004,789,1091
0051,1092,1120
0053,1092,1112
0158,3449,3478
0158,3481,3559
0275,3449,3451
0278,3514,4858
0278,4860,4867
0278,4871,4933
0278,4947,4949
0278,4951,4957
0279,3449,3478
0280,3626,3648
0283,3449,3478
0284,3449,3454
0284,3457,3462
0285,3449,3467
0288,3450,3457
0288,3460,3460
0288,3465,3465
0288,3468,3468
0288,3473,3475
0288,3478,3478
0290,3692,3706
0296,3754,3768
0303,3848,3859
0312,4086,4097
0325,4099,4111
0327,4037,4052
0329,4202,4212
0339,4333,4345
0341,4137,4140
0341,4142,4148
0402,5062,5083
0402,5087,5092
0402,5094,5098
0402,5100,5107
0459,6691,6719
0461,6691,6708
0461,6710,6719
0694,9048,9057
0698,9048,9074
0699,9048,9077
0700,9074,9087
0700,9089,9148
0700,9155,9169
0700,9173,9174
0700,9176,9176
0700,9184,9185
0700,9189,9195
0700,9197,9209
0700,9212,9252
0700,9254,9266
0700,9268,9271
0706,9048,9070
0707,9628,9628
0707,9631,9631
0712,9293,9307
0729,9408,9410
0729,9414,9414
0731,9413,9424
0731,9429,9433
0731,9440,9477
0731,9499,9569
0731,9571,9609
0733,9535,9548
0734,9471,9489
0749,9843,9843
0749,9932,9960
0750,9683,9686
0750,9693,9711
0750,9729,9729
0757,9942,9961
0762,9758,9763
0764,9819,9821
0767,9797,9801
0775,9932,9949
0776,14855,14868
0778,9913,9922
0779,9870,9871
0779,9875,9876
0779,9884,9884
0779,9887,9893
0782,14777,14791
0782,14794,14803
0783,9940,9942
0783,9944,9954
0783,9961,9964
0793,10110,10120
0793,10147,10280
0793,10299,10300
0793,10305,10334
0793,10337,10341
0793,10345,10345
0793,10347,10347
0793,10349,10373
0793,10381,10384
0793,10386,10394
0793,10396,10399
0793,10402,10403
0793,10405,10448
0793,10450,10456
0793,10470,10481
0793,10483,10489
0793,10495,10496
0793,10503,10638
0793,10643,10643
0793,10657,10697
0793,10700,10707
0793,10709,10711
0793,10713,10713
0793,10742,10780
0793,10783,10794
0793,10800,10801
0793,10804,10815
0793,10819,10819
0793,10821,10825
0793,10829,10898
0793,10921,10932
0793,10942,10951
0793,10953,10955
0793,10964,10988
0793,10994,10996
0793,10998,10998
0793,11001,11001
0793,11005,11073
0793,11075,11075
0862,11609,11719
0862,11722,11746
0862,11761,11767
0862,11769,11782
0862,11785,11789
0862,11797,11797
0862,11803,11853
0862,11867,11867
0862,11869,11869
0862,11871,11891
0862,11908,12109
0862,12118,12164
0862,12169,12177
0862,12179,12191
0862,12194,12197
0888,12290,12318
1120,14779,14801
1150,14648,14675
1156,14647,14675
1158,14668,14675
1166,14844,14859
1168,14970,14970
1168,14973,14973
1169,15081,15091
1170,14900,14914
1174,14967,14980
1175,15059,15061
1175,15072,15073
1176,15023,15034
1180,15116,15127
1182,15137,15147
1193,15275,15292
1214,15385,15400
1214,15531,15554
1217,15516,15527
1218,15460,15472
1218,15531,15560
1221,15547,15560
1321,17888,17917
1414,20336,20387
1530,20246,20265
1574,20246,20265
1579,20246,20249
1591,20448,20470
1595,20255,20256
1595,20260,20274
1601,20465,20483
1608,20388,20411
1614,20576,20582
1614,20584,20590
1617,20666,20676
1617,20678,20679
1625,20790,20793
1625,20795,20795
1625,20798,20801
1635,20748,20749
1637,20941,20953
1649,20853,20855
1649,20857,20860
1649,20864,20865
1656,21043,21052
1656,21130,21143
1668,21091,21091
1668,21093,21094
1668,21130,21158
1672,25994,26023
1749,25991,26002
1749,26004,26017
1929,26094,26095
1929,26098,26099
2012,25846,25925
2012,25927,25949
2012,25964,25986
2012,25991,26261
2012,26269,26360
2012,26363,26363
2012,26365,26397
2012,26406,26407
2012,26412,26424
2012,26443,26446
2012,26448,26451
2012,26456,26456
2012,26459,26462
2012,26468,26471
2023,25845,25850
2025,25845,25864
2026,25872,25872
2029,26088,26101
2032,26169,26182
2036,26321,26336
2041,26368,26369
2041,26376,26376
2042,26412,26421
2044,26239,26251
2051,26461,26475
2069,26508,26517
2069,26519,26533
2069,26545,26545
2069,26551,26555
2069,26562,26562
2080,31630,31633
2082,26729,26733
2104,26999,27008
2108,27042,27046
2108,27059,27059
2108,27076,27076
2119,27175,27180
2164,28492,28495
2164,28513,28513
2164,28516,28516
2164,28525,28525
2176,28664,28667
