start_sec,end_sec,NE_straight,NE_left,SW_straight,SW_left,crosswalk
0.0,19.0,RED,OFF,RED,GREEN,GREEN
19.0,22.0,RED,OFF,RED,YELLOW,RED
22.0,118.0,GREEN,OFF,GREEN,RED,RED
118.0,121.0,YELLOW,OFF,YELLOW,RED,RED
121.0,121.2,RED,OFF,RED,RED,RED
121.2,159.0,RED,OFF,RED,GREEN,GREEN
159.0,162.0,RED,OFF,RED,YELLOW,RED
162.0,258.0,GREEN,OFF,GREEN,RED,RED
258.0,261.0,YELLOW,OFF,YELLOW,RED,RED
261.0,261.2,RED,OFF,RED,RED,RED
261.2,299.0,RED,OFF,RED,GREEN,GREEN
299.0,302.0,RED,OFF,RED,YELLOW,RED
302.0,398.0,GREEN,OFF,GREEN,RED,RED
398.0,401.0,YELLOW,OFF,YELLOW,RED,RED
401.0,401.2,RED,OFF,RED,RED,RED
401.2,439.0,RED,OFF,RED,GREEN,GREEN
439.0,442.0,RED,OFF,RED,YELLOW,RED
442.0,538.0,GREEN,OFF,GREEN,RED,RED
538.0,541.0,YELLOW,OFF,YELLOW,RED,RED
541.0,541.2,RED,OFF,RED,RED,RED
541.2,579.0,RED,OFF,RED,GREEN,GREEN
579.0,582.0,RED,OFF,RED,YELLOW,RED
582.0,600.0,GREEN,OFF,GREEN,RED,RED
