ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,48.8,22.5,34.7
0002,21.1,0.0,5.6
0003,29.5,0.0,3.6
0004,62.7,11.1,31.0
0005,42.3,0.0,21.8
0006,29.3,14.6,19.6
0007,28.9,0.0,17.6
0008,46.6,18.0,24.5
0009,39.3,1.0,20.9
0010,35.1,14.6,23.8
0012,38.2,0.0,23.9
0013,7.4,0.0,2.5
0014,29.2,2.0,22.3
0015,34.4,34.4,34.4
0016,49.9,12.6,22.7
0017,28.3,11.8,23.5
0018,10.9,4.7,7.5
0019,51.8,19.2,24.6
0020,38.0,23.2,27.0
0021,13.1,0.0,3.8
0022,53.3,8.1,25.4
0023,29.5,10.0,21.0
0024,27.6,14.1,19.5
0025,25.6,9.5,17.4
0026,33.3,2.9,26.5
0027,6.1,0.9,3.3
0028,21.9,20.2,21.0
0029,8.1,3.1,5.1
0030,32.0,14.2,23.3
0031,25.5,13.3,22.3
0032,30.6,5.9,24.5
0033,30.0,2.9,24.1
0034,32.6,3.7,23.3
0035,26.1,15.3,22.6
0036,46.3,7.4,36.4
0037,36.6,3.2,19.8
0038,16.0,4.5,10.0
0039,15.3,7.3,11.3
0040,48.0,18.6,35.2
0041,62.3,30.7,48.6
0042,78.1,30.4,37.4
0043,12.2,2.6,5.5
0044,31.6,31.4,31.5
0045,63.4,20.2,40.7
0046,35.3,11.9,26.3
0047,46.6,15.4,34.8
0048,50.6,13.2,38.0
0049,50.9,6.3,40.5
0050,46.8,16.2,40.3
0051,51.5,26.7,45.2
0053,55.0,7.8,45.9
0054,36.6,23.6,32.4
0055,56.1,31.9,47.2
0056,47.4,22.6,31.1
0057,54.1,25.0,47.3
0058,47.6,34.5,43.2
0059,53.8,29.8,45.9
0060,54.8,8.0,47.8
0061,31.1,0.0,11.4
0062,67.8,5.9,52.3
0063,57.8,3.9,44.9
0064,42.4,13.9,36.0
0065,99.4,33.8,51.4
0066,56.2,9.4,45.3
0067,50.4,3.9,16.9
0068,72.5,28.4,56.6
0069,22.1,0.0,12.8
0070,52.6,32.8,45.1
0071,52.1,18.7,28.7
0072,69.9,5.1,44.4
0073,18.5,0.0,7.6
0074,52.0,0.0,40.9
0075,106.2,35.3,48.9
0076,32.5,0.0,6.9
0077,57.4,8.3,48.0
0078,57.0,6.2,43.4
0079,38.8,3.9,31.5
0080,92.3,48.0,70.1
0081,106.1,69.8,85.6
0082,47.1,3.9,34.9
0083,61.0,8.2,52.1
0084,52.4,29.7,40.9
0085,73.9,14.4,39.2
0086,77.7,59.6,68.0
0087,8.8,7.0,7.6
0088,43.9,0.0,36.3
0089,44.0,10.4,30.4
0090,46.5,5.9,38.4
0091,25.3,6.0,17.7
0092,34.5,12.0,23.5
0093,39.8,0.0,21.9
0094,31.3,12.0,19.4
0095,48.9,0.0,23.2
0096,46.2,30.1,37.9
0097,35.8,0.0,18.8
0098,11.5,0.0,1.3
0099,8.2,5.7,7.0
0100,33.3,0.5,23.4
0101,0.0,0.0,0.0
0102,13.9,0.0,5.8
0103,47.6,0.0,7.2
0104,0.5,0.0,0.2
0105,118.3,80.8,102.4
0106,19.2,19.2,19.2
0107,35.0,4.1,20.9
0108,4.0,0.0,0.4
0109,57.4,14.7,46.5
0110,49.9,35.6,41.1
0111,47.7,0.0,31.9
0112,0.2,0.0,0.0
0113,4.8,0.5,3.3
0114,47.0,22.1,29.9
0115,47.5,0.0,3.8
0116,38.6,0.0,27.6
0117,62.9,22.8,34.1
0118,54.4,0.0,25.2
0119,1.5,1.0,1.4
0120,46.9,15.2,33.9
0121,51.8,16.1,30.3
0122,56.8,18.0,31.3
0123,38.2,3.1,21.4
0124,9.3,0.0,7.0
0125,35.4,5.9,16.1
0126,35.1,15.5,25.5
0127,31.9,0.0,22.4
0128,54.9,1.6,36.5
0129,1.5,1.5,1.5
0130,34.6,28.8,30.7
0131,9.5,7.9,8.8
0132,39.2,0.0,27.1
0133,6.5,6.5,6.5
0134,21.8,5.4,9.9
0135,45.5,2.6,32.2
0136,53.9,35.5,42.8
0137,12.2,1.7,7.6
0138,43.8,1.2,29.8
0139,67.5,0.0,38.9
0140,41.8,3.1,31.3
0141,21.9,6.5,13.0
0142,45.4,1.5,34.7
0143,38.4,9.1,25.6
0144,81.5,50.0,58.0
0145,56.3,5.5,41.4
0146,67.5,35.0,57.7
0147,63.4,35.1,50.2
0148,35.0,7.4,28.4
0149,64.4,25.2,50.7
0150,62.0,4.2,49.5
0151,33.2,9.6,27.5
0152,0.8,0.4,0.6
0153,71.7,9.6,38.3
0154,51.8,34.9,41.5
0155,6.0,1.6,4.6
0156,35.8,0.0,18.7
0157,8.3,2.7,5.0
0158,53.6,24.3,32.3
0159,55.1,7.1,39.1
0160,11.0,0.0,5.8
0161,47.3,1.5,38.3
0162,12.6,0.0,5.3
0163,44.3,2.9,28.6
0164,37.6,11.9,31.8
0165,34.3,9.5,25.6
0166,61.1,8.1,49.7
0168,0.0,0.0,0.0
0169,47.9,7.9,40.3
0170,44.3,26.4,37.6
0171,16.1,1.2,4.2
0172,105.4,34.4,53.9
0173,45.2,30.1,34.5
0174,66.3,24.4,54.2
0175,61.5,4.1,51.7
0176,20.1,0.0,7.9
0177,46.1,8.2,31.8
0178,61.6,23.7,46.0
0179,68.9,4.2,51.3
0180,0.6,0.0,0.2
0181,59.3,35.7,50.3
0183,67.0,37.9,48.9
0184,18.1,0.0,9.0
0185,65.2,21.2,31.9
0186,64.5,3.1,29.9
0188,44.1,6.2,33.6
0189,26.6,4.4,21.6
0190,48.4,0.0,18.2
0191,53.1,23.3,35.5
0192,35.4,0.0,5.6
0193,25.0,17.0,19.4
0194,1.6,0.0,0.7
0195,29.4,0.0,3.0
0196,42.6,16.6,27.2
0197,2.1,0.0,1.1
0198,67.1,15.4,47.4
0199,30.6,11.5,26.6
0200,48.2,4.4,27.6
0201,53.3,37.8,44.2
0202,37.9,3.7,28.4
0203,52.2,0.0,11.5
0204,44.6,0.0,12.9
0205,43.7,6.4,21.2
0206,49.1,4.4,28.2
0207,49.6,12.5,25.8
0208,56.1,0.0,6.5
0209,37.5,8.8,27.6
0210,42.5,25.9,36.2
0211,54.8,24.6,35.7
0212,24.9,3.7,15.1
0213,47.7,27.9,38.7
0214,14.7,0.0,8.8
0215,59.2,9.6,25.9
0218,42.3,0.5,20.4
0219,37.9,6.2,22.7
0220,24.1,24.1,24.1
0221,27.9,3.6,19.8
0222,77.7,22.6,60.0
0223,47.2,4.0,39.8
0224,27.1,0.0,19.2
0225,49.5,20.3,43.2
0226,35.6,5.2,22.7
0227,56.1,8.2,43.4
0228,24.6,11.8,18.4
0229,39.4,17.3,29.0
0230,57.0,8.1,46.0
0231,42.7,10.6,25.2
0232,33.7,16.1,29.1
0233,40.7,1.5,23.4
0234,82.0,6.5,37.0
0235,37.4,0.0,25.3
0236,47.1,34.2,42.3
0237,69.0,4.2,58.6
0238,69.7,29.5,45.9
0239,23.9,0.0,8.5
0240,71.5,8.1,53.8
0241,39.1,7.3,28.8
0242,41.1,18.8,36.2
0243,8.8,0.0,1.8
0244,80.3,27.8,44.6
0245,45.4,10.8,39.2
0246,38.8,9.6,34.6
0247,54.6,14.4,44.0
0248,101.6,46.1,63.1
0249,49.2,4.1,40.6
0250,83.2,50.5,61.0
0251,43.0,31.0,37.8
0252,66.3,35.5,56.0
0253,56.1,17.2,44.4
0254,52.9,25.7,41.0
0255,54.6,3.1,40.8
0256,55.0,27.5,42.9
0257,49.4,6.2,31.2
0258,49.5,3.1,33.9
0259,68.7,29.1,48.3
0260,57.6,23.5,39.7
0261,56.2,28.9,50.7
0262,41.0,8.7,35.3
0263,58.7,22.9,37.4
0264,12.2,2.6,6.8
0265,56.7,40.2,47.4
0266,48.9,33.3,44.1
0267,46.9,5.6,39.2
0268,56.9,46.5,51.7
0269,37.1,19.6,32.4
0270,33.7,4.4,26.9
0271,36.9,3.2,11.6
0272,16.6,5.6,7.8
0273,37.1,0.0,3.4
0274,36.3,2.1,20.9
0275,58.6,13.8,29.8
0276,76.5,11.1,37.4
0277,52.4,0.0,23.7
0278,47.3,5.9,35.1
0280,34.8,12.1,28.7
0281,33.7,15.7,28.1
0282,41.8,0.0,2.2
0283,32.2,27.4,29.3
0284,27.0,17.6,24.9
0285,46.9,10.3,37.1
0286,52.6,44.0,48.8
0287,21.1,0.0,6.5
0288,51.9,24.6,42.9
0289,37.6,2.9,27.0
0290,47.4,1.6,25.9
0291,45.4,7.8,24.4
0292,49.1,26.3,39.1
0293,0.0,0.0,0.0
0294,47.0,10.2,16.2
