start_sec,end_sec,NE_straight,NE_left,SW_straight,SW_left,crosswalk,confidence,note
0,1,GREEN,OFF,GREEN,RED,RED,INFERRED,영상 시작 시 양방향 직진 초록 진행 중
1,4,YELLOW,OFF,YELLOW,RED,RED,HIGH,양방향 직진 황색 3초
4,4.2,RED,OFF,RED,RED,RED,INFERRED,직진 적색 후 0.2초 전체 적색
4.2,42,RED,OFF,RED,GREEN,GREEN,INFERRED,가까워지는 좌회전과 횡단보도 동시 초록
42,45,RED,OFF,RED,YELLOW,RED,INFERRED,"좌회전 황색 3초, 횡단보도 적색"
45,131,GREEN,OFF,GREEN,RED,RED,HIGH,양방향 직진 초록
131,134,YELLOW,OFF,YELLOW,RED,RED,HIGH,양방향 직진 황색 3초
134,134.2,RED,OFF,RED,RED,RED,INFERRED,직진 적색 후 0.2초 전체 적색
134.2,172,RED,OFF,RED,GREEN,GREEN,INFERRED,좌회전과 횡단보도 동시 초록
172,175,RED,OFF,RED,YELLOW,RED,INFERRED,좌회전 황색 3초
175,261,GREEN,OFF,GREEN,RED,RED,INFERRED,130초 주기로 계산한 양방향 직진 초록
261,264,YELLOW,OFF,YELLOW,RED,RED,HIGH,양방향 직진 황색 3초
264,264.2,RED,OFF,RED,RED,RED,INFERRED,직진 적색 후 0.2초 전체 적색
264.2,302,RED,OFF,RED,GREEN,GREEN,INFERRED,좌회전과 횡단보도 동시 초록
302,305,RED,OFF,RED,YELLOW,RED,INFERRED,좌회전 황색 3초
305,392,GREEN,OFF,GREEN,RED,RED,INFERRED,130초 주기로 계산한 양방향 직진 초록
392,395,YELLOW,OFF,YELLOW,RED,RED,HIGH,양방향 직진 황색 3초
395,395.2,RED,OFF,RED,RED,RED,INFERRED,직진 적색 후 0.2초 전체 적색
395.2,433,RED,OFF,RED,GREEN,GREEN,INFERRED,좌회전과 횡단보도 동시 초록
433,436,RED,OFF,RED,YELLOW,RED,INFERRED,좌회전 황색 3초
436,522,GREEN,OFF,GREEN,RED,RED,INFERRED,130초 주기로 계산한 양방향 직진 초록
522,525,YELLOW,OFF,YELLOW,RED,RED,HIGH,양방향 직진 황색 3초
525,525.2,RED,OFF,RED,RED,RED,INFERRED,직진 적색 후 0.2초 전체 적색
525.2,563,RED,OFF,RED,GREEN,GREEN,INFERRED,마지막 측정 초록 566초에 맞춘 좌회전·횡단보도
563,566,RED,OFF,RED,YELLOW,RED,INFERRED,좌회전 황색 3초
566,600,GREEN,OFF,GREEN,RED,RED,HIGH,마지막 양방향 직진 초록
